,0,COOL,LIGHTING,DISCOMFORT,T_m,T_a
0,1.18344832022,0.0,0.0,0.0,19.938214144,-2.1
1,0.790919529819,0.0,0.0,0.0,20.056208204,-2.7
2,1.18750377757,0.0,0.0,0.0,19.9967953461,-2.3
3,0.792413878732,0.0,0.0,0.0,19.944652068,-1.3
4,0.814941733656,0.0,0.0,0.0,19.9164923974,-0.8
5,0.827180640666,0.0,0.0,0.0,19.9112112833,-0.1
6,0.828923021531,0.0,0.0,0.0,19.9252908339,0.7
7,0.84640232761,0.0,0.40131,0.0,19.8944690092,1.6
8,0.845517977041,0.0,0.0,0.0,19.9248387222,3.9
9,0.408930339013,0.0,0.0,0.0,20.0235912666,5.1
10,0.822805372998,0.0,0.0,0.0,19.980200749,6.0
11,0.421727897618,0.0,0.0,0.0,20.0601020393,6.3
12,0.83733017319,0.0,0.0,0.0,19.9287991915,6.7
13,0.833976814821,0.0,0.40131,0.0,19.9787069861,6.5
14,0.428328049416,0.0,0.40131,0.0,20.0524221034,6.3
15,0.838770726879,0.0,0.40131,0.0,20.086199883,5.7
16,0.839085667986,0.0,0.40131,0.0,20.0617813354,5.5
17,1.28429921024,0.0,0.40131,0.0,19.9988762821,5.3
18,0.845008455886,0.0,0.40131,0.0,19.9693182579,5.4
19,0.429204264719,0.0,0.0,0.0,20.0885529621,5.4
20,0.433262167132,0.0,0.0,0.0,20.006307694,5.5
21,0.857858307087,0.0,0.0,0.0,20.1277652206,5.4
22,0.425855544418,0.0,0.0,0.0,20.0371964043,5.3
23,0.867638806496,0.0,0.0,0.0,19.9439026895,5.0
24,0.442979530556,0.0,0.0,0.0,20.0621183751,4.7
25,0.866397340953,0.0,0.0,0.0,19.9513387545,4.2
26,0.445729849721,0.0,0.0,0.0,20.0612417759,4.2
27,0.873470847489,0.0,0.0,0.0,19.948090923,4.0
28,0.428989134419,0.0,0.0,0.0,20.0407554501,3.7
29,0.874208186458,0.0,0.0,0.0,20.1076739842,2.3
30,0.893677017018,0.0,0.0,0.0,19.9556962749,1.6
31,0.898547844863,0.0,0.40131,0.0,19.9332479635,0.9
32,0.904342704815,0.0,0.0,0.0,19.9383605005,0.4
33,0.0,0.0,0.0,0.0,20.2669427363,1.9
34,0.0,0.0,0.0,0.0,21.8072038212,3.3
35,0.0,0.0,0.0,0.0,23.4551060127,4.2
36,0.0,0.0,0.0,0.0,25.4494628797,5.0
37,0.0,-0.138128694308,0.0,0.0,26.1819139959,5.0
38,0.0,-1.47780345725,0.0,0.0,26.2568454546,5.1
39,0.0,0.0,0.0,0.0,25.5557820462,4.2
40,0.0,0.0,0.40131,0.0,24.8342311254,2.5
41,0.0,0.0,0.40131,0.0,23.97895026,0.6
42,0.0,0.0,0.40131,0.0,23.2426439326,0.5
43,0.0,0.0,0.0,0.0,22.7698583494,-0.5
44,0.0,0.0,0.0,0.0,22.2945395545,-1.1
45,0.0,0.0,0.0,0.0,21.8107641129,-2.0
46,0.0,0.0,0.0,0.0,21.322683007,-2.7
47,0.0,0.0,0.0,0.0,20.8522861971,-2.3
48,0.0,0.0,0.0,0.0,20.3733347294,-3.2
49,0.461368599392,0.0,0.0,0.0,19.909894467,-2.9
50,0.933838201262,0.0,0.0,0.0,19.8968405085,-3.0
51,0.939134266644,0.0,0.0,0.0,19.9074158807,-2.1
52,0.936538353814,0.0,0.0,0.0,19.9280442275,-1.6
53,0.928188371896,0.0,0.0,0.0,19.9555389361,-1.1
54,0.917416119305,0.0,0.0,0.0,19.9816585236,-0.9
55,0.454241208777,0.0,0.0,0.0,20.0058010946,-0.7
56,0.945191959358,0.0,0.0,0.0,19.9294192964,-0.7
57,0.0,0.0,0.0,0.0,21.5133440072,1.3
58,0.0,0.0,0.0,0.0,23.1234498195,2.9
59,0.0,0.0,0.0,0.0,22.9770167169,2.9
60,0.0,0.0,0.0,0.0,22.8111367436,3.3
61,0.0,0.0,0.0,0.0,22.5871540705,3.5
62,0.0,0.0,0.0,0.0,22.2467718623,3.1
63,0.0,0.0,0.0,0.0,21.8772000475,2.9
64,0.0,0.0,0.0,0.0,21.5032909959,3.1
65,0.0,0.0,0.0,0.0,21.1408101544,3.3
66,0.0,0.0,0.0,0.0,20.7895299541,3.5
67,0.0,0.0,0.0,0.0,20.4452447714,3.5
68,0.0,0.0,0.0,0.0,20.109806608,3.6
69,0.47038161354,0.0,0.0,0.0,20.0091370005,3.7
70,0.935207916163,0.0,0.0,0.0,20.1378465099,3.9
71,0.465471659511,0.0,0.0,0.0,20.0342584847,3.7
72,0.949777010422,0.0,0.0,0.0,19.9326551475,3.6
73,0.482802824619,0.0,0.0,0.0,20.0720855494,3.8
74,0.934828948042,0.0,0.0,0.0,19.9744479825,4.0
75,0.474220587266,0.0,0.0,0.0,20.1089994477,4.0
76,0.477492919648,0.0,0.0,0.0,20.0237118526,4.3
77,0.964523822431,0.0,0.0,0.0,19.9344322212,4.0
78,0.486850147605,0.0,0.0,0.0,20.0846460329,4.1
79,0.955561255508,0.0,0.40131,0.0,19.9436434718,4.3
80,0.487654788042,0.0,0.0,0.0,20.0914961969,4.6
81,0.487922310681,0.0,0.0,0.0,20.0239980996,5.2
82,0.47891517545,0.0,0.0,0.0,20.0678594077,5.8
83,0.475349925538,0.0,0.0,0.0,20.1457645197,6.4
84,0.0,0.0,0.0,0.0,20.0344617522,6.8
