,0,HEAT,COOL,LIGHTING,DISCOMFORT,T_m,T_a
60,2013-01-03 12:00:00,16.084543835,0.0,0.0,0.0,5.79651475881,3.3
61,2013-01-03 13:00:00,16.1321385607,0.0,0.0,0.0,5.75078442344,3.5
62,2013-01-03 14:00:00,16.1822890732,0.0,0.0,0.0,5.69799954138,3.1
63,2013-01-03 15:00:00,16.2369107394,0.0,0.0,0.0,5.64228317513,2.9
64,2013-01-03 16:00:00,16.2894365654,0.0,0.0,0.0,5.59165887072,3.1
65,2013-01-03 17:00:00,16.3369338625,0.0,0.0,0.0,5.5460252303,3.3
66,2013-01-03 18:00:00,16.3795027636,0.0,0.0,0.0,5.50528287513,3.5
67,2013-01-03 19:00:00,16.4197367816,0.0,0.0,0.0,5.46535181958,3.5
68,2013-01-03 20:00:00,16.4579219354,0.0,0.0,0.0,5.42820720121,3.6
69,2013-01-03 21:00:00,16.493355418,0.0,0.0,0.0,5.39379353389,3.7
70,2013-01-03 22:00:00,16.5248443361,0.0,0.0,0.0,5.36404772929,3.9
71,2013-01-03 23:00:00,16.5567143804,0.0,0.0,0.0,5.33091166498,3.7
72,2013-01-04 00:00:00,16.5906846974,0.0,0.0,0.0,5.29644414386,3.6
73,2013-01-04 01:00:00,16.6222267974,0.0,0.0,0.0,5.26664555785,3.8
74,2013-01-04 02:00:00,16.649158216,0.0,0.0,0.0,5.24142293477,4.0
75,2013-01-04 03:00:00,16.6740661397,0.0,0.0,0.0,5.21670256799,4.0
76,2013-01-04 04:00:00,16.6947350122,0.0,0.0,0.0,5.19844833482,4.3
77,2013-01-04 05:00:00,16.716504551,0.0,0.0,0.0,5.1745837182,4.0
78,2013-01-04 06:00:00,16.7388237248,0.0,0.0,0.0,5.1531856089,4.1
79,2013-01-04 07:00:00,16.7601432915,0.0,0.40131,1.0,5.13192642189,4.3
80,2013-01-04 08:00:00,16.7780525852,0.0,0.0,1.0,5.11602037088,4.6
81,2013-01-04 09:00:00,16.7824041606,0.0,0.0,1.0,5.11853159088,5.2
82,2013-01-04 10:00:00,16.7686839754,0.0,0.0,1.0,5.13890935522,5.8
83,2013-01-04 11:00:00,16.7334857008,0.0,0.0,1.0,5.18288218811,6.4
84,2013-01-04 12:00:00,16.6817195265,0.0,0.0,1.0,5.23926929366,6.8
85,2013-01-04 13:00:00,16.6178108247,0.0,0.0,1.0,5.30763779995,7.2
86,2013-01-04 14:00:00,16.5568612453,0.0,0.0,1.0,5.36422459174,7.2
87,2013-01-04 15:00:00,16.5069640669,0.0,0.40131,1.0,5.41014846574,6.9
88,2013-01-04 16:00:00,16.4659949696,0.0,0.40131,1.0,5.44815038066,6.5
89,2013-01-04 17:00:00,16.4255414308,0.0,0.40131,1.0,5.49003078674,6.5
90,2013-01-04 18:00:00,16.3900502255,0.0,0.40131,1.0,5.52176040452,6.4
91,2013-01-04 19:00:00,16.3635388514,0.0,0.0,0.0,5.54522260595,6.7
92,2013-01-04 20:00:00,16.3366263234,0.0,0.0,0.0,5.57419148493,7.0
93,2013-01-04 21:00:00,16.3067711983,0.0,0.0,0.0,5.60457480158,7.1
94,2013-01-04 22:00:00,16.2792623447,0.0,0.0,0.0,5.6303705116,6.9
95,2013-01-04 23:00:00,16.2537884844,0.0,0.0,0.0,5.65565255348,6.9
96,2013-01-05 00:00:00,16.2300695705,0.0,0.0,0.0,5.67843986295,6.8
97,2013-01-05 01:00:00,16.205071201,0.0,0.0,0.0,5.70475599615,7.0
98,2013-01-05 02:00:00,16.1790834109,0.0,0.0,0.0,5.73054809806,7.0
99,2013-01-05 03:00:00,16.156108488,0.0,0.0,0.0,5.75184401787,6.8
100,2013-01-05 04:00:00,16.1413167104,0.0,0.0,0.0,5.76275940903,6.3
